date,sku,opening_stock,received_units,units,closing_stock
2025-07-20,85123A,104,0,9,95
2025-07-21,85123A,95,0,8,87
2025-07-22,85123A,87,0,8,79
2025-07-23,85123A,79,0,6,73
2025-07-24,85123A,73,0,8,65
2025-07-25,85123A,65,0,8,57
2025-07-26,85123A,57,0,9,48
2025-07-27,85123A,48,108,9,147
2025-07-28,85123A,147,0,7,140
2025-07-29,85123A,140,0,7,133
2025-07-30,85123A,133,0,9,124
2025-07-31,85123A,124,0,7,117
2025-08-01,85123A,117,0,7,110
2025-08-02,85123A,110,0,8,102
2025-08-03,85123A,102,0,8,94
2025-08-04,85123A,94,0,6,88
2025-08-05,85123A,88,0,6,82
2025-08-06,85123A,82,0,8,74
2025-08-07,85123A,74,0,8,66
2025-08-08,85123A,66,0,8,58
2025-08-09,85123A,58,0,10,48
2025-08-10,85123A,48,117,9,156
2025-08-11,85123A,156,0,7,149
2025-08-12,85123A,149,0,7,142
2025-08-13,85123A,142,0,7,135
2025-08-14,85123A,135,0,9,126
2025-08-15,85123A,126,0,9,117
2025-08-16,85123A,117,0,11,106
2025-08-17,85123A,106,0,8,98
2025-08-18,85123A,98,0,6,92
2025-08-19,85123A,92,0,8,84
2025-08-20,85123A,84,0,9,75
2025-08-21,85123A,75,0,9,66
2025-08-22,85123A,66,0,8,58
2025-08-23,85123A,58,0,10,48
2025-08-24,85123A,48,0,8,40
2025-08-25,85123A,40,123,8,155
2025-08-26,85123A,155,0,7,148
2025-08-27,85123A,148,0,7,141
2025-08-28,85123A,141,0,9,132
2025-08-29,85123A,132,0,8,124
2025-08-30,85123A,124,0,10,114
2025-08-31,85123A,114,0,8,106
2025-09-01,85123A,106,0,8,98
2025-09-02,85123A,98,0,7,91
2025-09-03,85123A,91,0,8,83
2025-09-04,85123A,83,0,7,76
2025-09-05,85123A,76,0,9,67
2025-09-06,85123A,67,0,9,58
2025-09-07,85123A,58,0,10,48
2025-09-08,85123A,48,0,8,40
2025-09-09,85123A,40,126,7,159
2025-09-10,85123A,159,0,8,151
2025-09-11,85123A,151,0,7,144
2025-09-12,85123A,144,0,9,135
2025-09-13,85123A,135,0,11,124
2025-09-14,85123A,124,0,10,114
2025-09-15,85123A,114,0,7,107
2025-09-16,85123A,107,0,7,100
2025-09-17,85123A,100,0,8,92
2025-09-18,85123A,92,0,8,84
2025-09-19,85123A,84,0,8,76
2025-09-20,85123A,76,0,11,65
2025-09-21,85123A,65,0,10,55
2025-09-22,85123A,55,0,7,48
2025-09-23,85123A,48,0,7,41
2025-09-24,85123A,41,132,9,164
2025-09-25,85123A,164,0,9,155
2025-09-26,85123A,155,0,9,146
2025-09-27,85123A,146,0,10,136
2025-09-28,85123A,136,0,11,125
2025-09-29,85123A,125,0,8,117
2025-09-30,85123A,117,0,8,109
2025-10-01,85123A,109,0,8,101
2025-10-02,85123A,101,0,8,93
2025-10-03,85123A,93,0,10,83
2025-10-04,85123A,83,0,11,72
2025-10-05,85123A,72,0,9,63
2025-10-06,85123A,63,0,7,56
2025-10-07,85123A,56,0,8,48
2025-10-08,85123A,48,0,8,40
2025-10-09,85123A,40,134,8,166
2025-10-10,85123A,166,0,8,158
2025-10-11,85123A,158,0,11,147
2025-10-12,85123A,147,0,9,138
2025-10-13,85123A,138,0,9,129
2025-10-14,85123A,129,0,7,122
2025-10-15,85123A,122,0,9,113
2025-10-16,85123A,113,0,9,104
2025-10-17,85123A,104,0,10,94
2025-10-18,85123A,94,0,10,84
2025-10-19,85123A,84,0,10,74
2025-10-20,85123A,74,0,9,65
2025-10-21,85123A,65,0,8,57
2025-10-22,85123A,57,0,9,48
2025-10-23,85123A,48,0,8,40
2025-10-24,85123A,40,136,10,166
2025-10-25,85123A,166,0,10,156
2025-10-26,85123A,156,0,11,145
2025-10-27,85123A,145,0,9,136
2025-10-28,85123A,136,0,8,128
2025-10-29,85123A,128,0,9,119
2025-10-30,85123A,119,0,8,111
2025-10-31,85123A,111,0,10,101
2025-11-01,85123A,101,0,9,92
2025-11-02,85123A,92,0,10,82
2025-11-03,85123A,82,0,9,73
2025-11-04,85123A,73,0,9,64
2025-11-05,85123A,64,0,8,56
2025-11-06,85123A,56,0,8,48
2025-11-07,85123A,48,127,9,166
2025-11-08,85123A,166,0,10,156
2025-11-09,85123A,156,0,10,146
2025-11-10,85123A,146,0,8,138
2025-11-11,85123A,138,0,9,129
2025-11-12,85123A,129,0,8,121
2025-11-13,85123A,121,0,9,112
2025-11-14,85123A,112,0,10,102
2025-11-15,85123A,102,0,10,92
2025-11-16,85123A,92,0,9,83
2025-11-17,85123A,83,0,9,74
2025-11-18,85123A,74,0,8,66
2025-11-19,85123A,66,0,8,58
2025-11-20,85123A,58,0,10,48
2025-11-21,85123A,48,128,9,167
2025-11-22,85123A,167,0,11,156
2025-11-23,85123A,156,0,10,146
2025-11-24,85123A,146,0,9,137
2025-11-25,85123A,137,0,10,127
2025-11-26,85123A,127,0,8,119
2025-11-27,85123A,119,0,9,110
2025-11-28,85123A,110,0,9,101
2025-11-29,85123A,101,0,10,91
2025-11-30,85123A,91,0,10,81
2025-12-01,85123A,81,0,8,73
2025-12-02,85123A,73,0,8,65
2025-12-03,85123A,65,0,8,57
2025-12-04,85123A,57,0,9,48
2025-12-05,85123A,48,134,10,172
2025-12-06,85123A,172,0,10,162
2025-12-07,85123A,162,0,11,151
2025-12-08,85123A,151,0,9,142
2025-12-09,85123A,142,0,9,133
2025-12-10,85123A,133,0,9,124
2025-12-11,85123A,124,0,9,115
2025-12-12,85123A,115,0,10,105
2025-12-13,85123A,105,0,11,94
2025-12-14,85123A,94,0,10,84
2025-12-15,85123A,84,0,8,76
2025-12-16,85123A,76,0,8,68
2025-12-17,85123A,68,0,10,58
2025-12-18,85123A,58,0,10,48
2025-12-19,85123A,48,138,11,175
2025-12-20,85123A,175,0,12,163
2025-12-21,85123A,163,0,10,153
2025-12-22,85123A,153,0,9,144
2025-12-23,85123A,144,0,8,136
2025-12-24,85123A,136,0,10,126
2025-12-25,85123A,126,0,10,116
2025-12-26,85123A,116,0,10,106
2025-12-27,85123A,106,0,10,96
2025-12-28,85123A,96,0,11,85
2025-12-29,85123A,85,0,8,77
2025-12-30,85123A,77,0,10,67
2025-12-31,85123A,67,0,10,57
2026-01-01,85123A,57,0,9,48
2026-01-02,85123A,48,135,9,174
2026-01-03,85123A,174,0,12,162
2026-01-04,85123A,162,0,11,151
2026-01-05,85123A,151,0,9,142
2026-01-06,85123A,142,0,9,133
2026-01-07,85123A,133,0,8,125
2026-01-08,85123A,125,0,8,117
2026-01-09,85123A,117,0,10,107
2026-01-10,85123A,107,0,10,97
2026-01-11,85123A,97,0,10,87
2026-01-12,85123A,87,0,9,78
2026-01-13,85123A,78,0,10,68
2026-01-14,85123A,68,0,10,58
2026-01-15,85123A,58,0,10,48
2026-01-16,85123A,48,136,10,174
2026-01-17,85123A,174,0,12,162
2026-01-18,85123A,162,0,12,150
2026-01-19,85123A,150,0,9,141
2026-01-20,85123A,141,0,8,133
2026-01-21,85123A,133,0,9,124
2026-01-22,85123A,124,0,8,116
2026-01-23,85123A,116,0,9,107
2026-01-24,85123A,107,0,12,95
2026-01-25,85123A,95,0,11,84
2026-01-26,85123A,84,0,9,75
2026-01-27,85123A,75,0,9,66
2026-01-28,85123A,66,0,9,57
2026-01-29,85123A,57,0,9,48
2026-01-30,85123A,48,132,9,171
2026-01-31,85123A,171,0,12,159
2026-02-01,85123A,159,0,11,148
2026-02-02,85123A,148,0,8,140
2026-02-03,85123A,140,0,9,131
2026-02-04,85123A,131,0,10,121
2026-02-05,85123A,121,0,10,111
2026-02-06,85123A,111,0,10,101
2026-02-07,85123A,101,0,10,91
2026-02-08,85123A,91,0,10,81
2026-02-09,85123A,81,0,7,74
2026-02-10,85123A,74,0,9,65
2026-02-11,85123A,65,0,8,57
2026-02-12,85123A,57,0,9,48
2026-02-13,85123A,48,136,10,174
2026-02-14,85123A,174,0,11,163
2026-02-15,85123A,163,0,11,152
2026-02-16,85123A,152,0,8,144
2026-02-17,85123A,144,0,9,135
2026-02-18,85123A,135,0,8,127
2026-02-19,85123A,127,0,10,117
2026-02-20,85123A,117,0,10,107
2026-02-21,85123A,107,0,12,95
2026-02-22,85123A,95,0,11,84
2026-02-23,85123A,84,0,8,76
2026-02-24,85123A,76,0,8,68
2026-02-25,85123A,68,0,10,58
2026-02-26,85123A,58,0,10,48
2026-02-27,85123A,48,139,11,176
2026-02-28,85123A,176,0,11,165
2026-03-01,85123A,165,0,11,154
2026-03-02,85123A,154,0,8,146
2026-03-03,85123A,146,0,9,137
2026-03-04,85123A,137,0,10,127
2026-03-05,85123A,127,0,10,117
2026-03-06,85123A,117,0,9,108
2026-03-07,85123A,108,0,12,96
2026-03-08,85123A,96,0,11,85
2026-03-09,85123A,85,0,10,75
2026-03-10,85123A,75,0,8,67
2026-03-11,85123A,67,0,10,57
2026-03-12,85123A,57,0,9,48
2026-03-13,85123A,48,129,11,166
2026-03-14,85123A,166,0,11,155
2026-03-15,85123A,155,0,10,145
2026-03-16,85123A,145,0,7,138
2026-03-17,85123A,138,0,9,129
2026-03-18,85123A,129,0,8,121
2026-03-19,85123A,121,0,9,112
2026-03-20,85123A,112,0,10,102
2026-03-21,85123A,102,0,10,92
2026-03-22,85123A,92,0,10,82
2026-03-23,85123A,82,0,7,75
2026-03-24,85123A,75,0,9,66
2026-03-25,85123A,66,0,8,58
2026-03-26,85123A,58,0,10,48
2026-03-27,85123A,48,136,9,175
2026-03-28,85123A,175,0,12,163
2026-03-29,85123A,163,0,11,152
2026-03-30,85123A,152,0,9,143
2026-03-31,85123A,143,0,9,134
2026-04-01,85123A,134,0,10,124
2026-04-02,85123A,124,0,8,116
2026-04-03,85123A,116,0,9,107
2026-04-04,85123A,107,0,11,96
2026-04-05,85123A,96,0,11,85
2026-04-06,85123A,85,0,9,76
2026-04-07,85123A,76,0,9,67
2026-04-08,85123A,67,0,9,58
2026-04-09,85123A,58,0,10,48
2026-04-10,85123A,48,0,8,40
2026-04-11,85123A,40,137,12,165
2026-04-12,85123A,165,0,10,155
2026-04-13,85123A,155,0,9,146
2026-04-14,85123A,146,0,8,138
2026-04-15,85123A,138,0,7,131
2026-04-16,85123A,131,0,8,123
2026-04-17,85123A,123,0,9,114
2026-04-18,85123A,114,0,11,103
2026-04-19,85123A,103,0,9,94
2026-04-20,85123A,94,0,8,86
2026-04-21,85123A,86,0,9,77
2026-04-22,85123A,77,0,10,67
2026-04-23,85123A,67,0,9,58
2026-04-24,85123A,58,0,10,48
2026-04-25,85123A,48,125,10,163
2026-04-26,85123A,163,0,9,154
2026-04-27,85123A,154,0,9,145
2026-04-28,85123A,145,0,8,137
2026-04-29,85123A,137,0,7,130
2026-04-30,85123A,130,0,10,120
2026-05-01,85123A,120,0,8,112
2026-05-02,85123A,112,0,12,100
2026-05-03,85123A,100,0,11,89
2026-05-04,85123A,89,0,8,81
2026-05-05,85123A,81,0,9,72
2026-05-06,85123A,72,0,8,64
2026-05-07,85123A,64,0,8,56
2026-05-08,85123A,56,0,8,48
2026-05-09,85123A,48,132,10,170
2026-05-10,85123A,170,0,11,159
2026-05-11,85123A,159,0,8,151
2026-05-12,85123A,151,0,8,143
2026-05-13,85123A,143,0,10,133
2026-05-14,85123A,133,0,9,124
2026-05-15,85123A,124,0,11,113
2026-05-16,85123A,113,0,12,101
2026-05-17,85123A,101,0,10,91
2026-05-18,85123A,91,0,9,82
2026-05-19,85123A,82,0,9,73
2026-05-20,85123A,73,0,8,65
2026-05-21,85123A,65,0,9,56
2026-05-22,85123A,56,0,8,48
2026-05-23,85123A,48,126,10,164
2026-05-24,85123A,164,0,11,153
2026-05-25,85123A,153,0,8,145
2026-05-26,85123A,145,0,8,137
2026-05-27,85123A,137,0,8,129
2026-05-28,85123A,129,0,10,119
2026-05-29,85123A,119,0,10,109
2026-05-30,85123A,109,0,11,98
2026-05-31,85123A,98,0,9,89
2026-06-01,85123A,89,0,9,80
2026-06-02,85123A,80,0,7,73
2026-06-03,85123A,73,0,8,65
2026-06-04,85123A,65,0,8,57
2026-06-05,85123A,57,0,9,48
2026-06-06,85123A,48,130,11,167
2026-06-07,85123A,167,0,10,157
2026-06-08,85123A,157,0,8,149
2026-06-09,85123A,149,0,9,140
2026-06-10,85123A,140,0,8,132
2026-06-11,85123A,132,0,10,122
2026-06-12,85123A,122,0,9,113
2026-06-13,85123A,113,0,12,101
2026-06-14,85123A,101,0,9,92
2026-06-15,85123A,92,0,8,84
2026-06-16,85123A,84,0,8,76
2026-06-17,85123A,76,0,8,68
2026-06-18,85123A,68,0,10,58
2026-06-19,85123A,58,0,10,48
2026-06-20,85123A,48,131,11,168
2026-06-21,85123A,168,0,11,157
2026-06-22,85123A,157,0,8,149
2026-06-23,85123A,149,0,8,141
2026-06-24,85123A,141,0,9,132
2026-06-25,85123A,132,0,10,122
2026-06-26,85123A,122,0,9,113
2026-06-27,85123A,113,0,11,102
2026-06-28,85123A,102,0,10,92
2026-06-29,85123A,92,0,9,83
2026-06-30,85123A,83,0,8,75
2026-07-01,85123A,75,0,10,65
2026-07-02,85123A,65,0,8,57
2026-07-03,85123A,57,0,9,48
2026-07-04,85123A,48,126,10,164
2026-07-05,85123A,164,0,10,154
2026-07-06,85123A,154,0,7,147
2026-07-07,85123A,147,0,10,137
2026-07-08,85123A,137,0,10,127
2026-07-09,85123A,127,0,9,118
2026-07-10,85123A,118,0,8,110
2026-07-11,85123A,110,0,11,99
2026-07-12,85123A,99,0,10,89
2026-07-13,85123A,89,0,8,81
2026-07-14,85123A,81,0,7,74
2026-07-15,85123A,74,0,8,66
2026-07-16,85123A,66,0,9,57
2026-07-17,85123A,57,0,9,48
2026-07-18,85123A,48,137,11,174
2026-07-19,85123A,174,0,11,163
2026-07-20,85123A,163,0,8,155
2026-07-21,85123A,155,0,10,145
2026-07-22,85123A,145,0,8,137
2026-07-23,85123A,137,0,9,128
2026-07-24,85123A,128,0,11,117
2026-07-25,85123A,117,0,12,105
2026-07-26,85123A,105,0,10,95
2026-07-27,85123A,95,0,9,86
2026-07-28,85123A,86,0,10,76
2026-07-29,85123A,76,0,8,68
2026-07-30,85123A,68,0,9,59
2026-07-31,85123A,59,0,11,48
2026-08-01,85123A,48,139,12,175
2026-08-02,85123A,175,0,11,164
2026-08-03,85123A,164,0,8,156
2026-08-04,85123A,156,0,9,147
2026-08-05,85123A,147,0,9,138
2026-08-06,85123A,138,0,11,127
2026-08-07,85123A,127,0,11,116
2026-08-08,85123A,116,0,11,105
2026-08-09,85123A,105,0,11,94
2026-08-10,85123A,94,0,8,86
2026-08-11,85123A,86,0,8,78
2026-08-12,85123A,78,0,10,68
2026-08-13,85123A,68,0,10,58
2026-08-14,85123A,58,0,10,48
2026-08-15,85123A,48,91,11,128
2026-08-16,85123A,128,0,11,117
2026-08-17,85123A,117,0,9,108
2026-08-18,85123A,108,0,8,100
2026-08-19,85123A,100,0,10,90
2026-08-20,85123A,90,0,11,79
2026-08-21,85123A,79,0,10,69
2026-08-22,85123A,69,0,11,58
2026-08-23,85123A,58,0,10,48
2026-08-24,85123A,48,182,8,222
2026-08-25,85123A,222,0,9,213
2026-08-26,85123A,213,0,9,204
2026-08-27,85123A,204,0,10,194
2026-08-28,85123A,194,0,11,183
2026-08-29,85123A,183,0,10,173
2026-08-30,85123A,173,0,12,161
2026-08-31,85123A,161,0,10,151
2026-09-01,85123A,151,0,8,143
2026-09-02,85123A,143,0,9,134
2026-09-03,85123A,134,0,11,123
2026-09-04,85123A,123,0,9,114
2026-09-05,85123A,114,0,11,103
2026-09-06,85123A,103,0,12,91
2026-09-07,85123A,91,0,8,83
2026-09-08,85123A,83,0,10,73
2026-09-09,85123A,73,0,10,63
2026-09-10,85123A,63,0,10,53
2026-09-11,85123A,53,0,9,44
2026-09-12,85123A,44,0,12,32
2026-09-13,85123A,32,0,12,20
2024-09-14,71053,333,0,14,319
2024-09-15,71053,319,0,13,306
2024-09-16,71053,306,0,9,297
2024-09-17,71053,297,0,11,286
