date,sku,units,selling_price,in_stock,promotion_id,opening_stock,received_units
2024-11-18,85123A,6,2.55,true,,67,0
2024-11-19,85123A,7,2.55,true,,61,0
2024-11-20,85123A,6,2.55,true,,54,0
2024-11-21,85123A,8,2.55,true,,48,0
2024-11-22,85123A,9,2.55,true,,40,116
2024-11-23,85123A,9,2.55,true,,147,0
2024-11-24,85123A,7,2.55,true,,138,0
2024-11-25,85123A,8,2.55,true,,131,0
2024-11-26,85123A,7,2.55,true,,123,0
2024-11-27,85123A,8,2.55,true,,116,0
2024-11-28,85123A,8,2.55,true,,108,0
2024-11-29,85123A,7,2.55,true,,100,0
2024-11-30,85123A,10,2.55,true,,93,0
2024-12-01,85123A,8,2.55,true,,83,0
2024-12-02,85123A,6,2.55,true,,75,0
2024-12-03,85123A,7,2.55,true,,69,0
2024-12-04,85123A,7,2.55,true,,62,0
2024-12-05,85123A,7,2.55,true,,55,0
2024-12-06,85123A,7,2.55,true,,48,0
2024-12-07,85123A,9,2.55,true,,41,117
2024-12-08,85123A,9,2.55,true,,149,0
2024-12-09,85123A,8,2.55,true,,140,0
2024-12-10,85123A,6,2.55,true,,132,0
2024-12-11,85123A,8,2.55,true,,126,0
2024-12-12,85123A,7,2.55,true,,118,0
2024-12-13,85123A,8,2.55,true,,111,0
2024-12-14,85123A,8,2.55,true,,103,0
2024-12-15,85123A,8,2.55,true,,95,0
2024-12-16,85123A,7,2.55,true,,87,0
2024-12-17,85123A,8,2.55,true,,80,0
2024-12-18,85123A,8,2.55,true,,72,0
2024-12-19,85123A,7,2.55,true,,64,0
2024-12-20,85123A,9,2.55,true,,57,0
2024-12-21,85123A,9,2.55,true,,48,112
2024-12-22,85123A,9,2.55,true,,151,0
2024-12-23,85123A,7,2.55,true,,142,0
2024-12-24,85123A,8,2.55,true,,135,0
2024-12-25,85123A,9,2.55,true,,127,0
2024-12-26,85123A,7,2.55,true,,118,0
2024-12-27,85123A,9,2.55,true,,111,0
2024-12-28,85123A,10,2.55,true,,102,0
2024-12-29,85123A,10,2.55,true,,92,0
2024-12-30,85123A,6,2.55,true,,82,0
2024-12-31,85123A,7,2.55,true,,76,0
2025-01-01,85123A,7,2.55,true,,69,0
2025-01-02,85123A,7,2.55,true,,62,0
2025-01-03,85123A,7,2.55,true,,55,0
2025-01-04,85123A,9,2.55,true,,48,109
2025-01-05,85123A,8,2.55,true,,148,0
2025-01-06,85123A,7,2.55,true,,140,0
2025-01-07,85123A,6,2.55,true,,133,0
2025-01-08,85123A,7,2.55,true,,127,0
2025-01-09,85123A,7,2.55,true,,120,0
2025-01-10,85123A,8,2.55,true,,113,0
2025-01-11,85123A,10,2.55,true,,105,0
2025-01-12,85123A,9,2.55,true,,95,0
2025-01-13,85123A,8,2.55,true,,86,0
2025-01-14,85123A,8,2.55,true,,78,0
2025-01-15,85123A,8,2.55,true,,70,0
2025-01-16,85123A,6,2.55,true,,62,0
2025-01-17,85123A,8,2.55,true,,56,0
2025-01-18,85123A,9,2.55,true,,48,110
2025-01-19,85123A,9,2.55,true,,149,0
2025-01-20,85123A,6,2.55,true,,140,0
2025-01-21,85123A,8,2.55,true,,134,0
2025-01-22,85123A,7,2.55,true,,126,0
2025-01-23,85123A,8,2.55,true,,119,0
2025-01-24,85123A,8,2.55,true,,111,0
2025-01-25,85123A,10,2.55,true,,103,0
2025-01-26,85123A,9,2.55,true,,93,0
2025-01-27,85123A,7,2.55,true,,84,0
2025-01-28,85123A,6,2.55,true,,77,0
2025-01-29,85123A,8,2.55,true,,71,0
2025-01-30,85123A,7,2.55,true,,63,0
2025-01-31,85123A,8,2.55,true,,56,0
2025-02-01,85123A,10,2.55,true,,48,112
2025-02-02,85123A,10,2.55,true,,150,0
2025-02-03,85123A,7,2.55,true,,140,0
2025-02-04,85123A,6,2.55,true,,133,0
2025-02-05,85123A,8,2.55,true,,127,0
2025-02-06,85123A,8,2.55,true,,119,0
2025-02-07,85123A,7,2.55,true,,111,0
2025-02-08,85123A,10,2.55,true,,104,0
2025-02-09,85123A,8,2.55,true,,94,0
2025-02-10,85123A,8,2.55,true,,86,0
2025-02-11,85123A,7,2.55,true,,78,0
2025-02-12,85123A,6,2.55,true,,71,0
2025-02-13,85123A,9,2.55,true,,65,0
2025-02-14,85123A,8,2.55,true,,56,0
2025-02-15,85123A,9,2.55,true,,48,107
2025-02-16,85123A,9,2.55,true,,146,0
2025-02-17,85123A,6,2.55,true,,137,0
2025-02-18,85123A,6,2.55,true,,131,0
2025-02-19,85123A,8,2.55,true,,125,0
2025-02-20,85123A,8,2.55,true,,117,0
2025-02-21,85123A,8,2.55,true,,109,0
2025-02-22,85123A,9,2.55,true,,101,0
2025-02-23,85123A,8,2.55,true,,92,0
2025-02-24,85123A,8,2.55,true,,84,0
2025-02-25,85123A,6,2.55,true,,76,0
2025-02-26,85123A,7,2.55,true,,70,0
2025-02-27,85123A,7,2.55,true,,63,0
2025-02-28,85123A,8,2.55,true,,56,0
2025-03-01,85123A,10,2.55,true,,48,109
2025-03-02,85123A,9,2.55,true,,147,0
2025-03-03,85123A,7,2.55,true,,138,0
2025-03-04,85123A,8,2.55,true,,131,0
2025-03-05,85123A,6,2.55,true,,123,0
2025-03-06,85123A,8,2.55,true,,117,0
2025-03-07,85123A,7,2.55,true,,109,0
2025-03-08,85123A,9,2.55,true,,102,0
2025-03-09,85123A,8,2.55,true,,93,0
2025-03-10,85123A,6,2.55,true,,85,0
2025-03-11,85123A,7,2.55,true,,79,0
2025-03-12,85123A,8,2.55,true,,72,0
2025-03-13,85123A,9,2.55,true,,64,0
2025-03-14,85123A,7,2.55,true,,55,0
2025-03-15,85123A,8,2.55,true,,48,0
2025-03-16,85123A,9,2.55,true,,40,117
2025-03-17,85123A,7,2.55,true,,148,0
2025-03-18,85123A,7,2.55,true,,141,0
2025-03-19,85123A,8,2.55,true,,134,0
2025-03-20,85123A,8,2.55,true,,126,0
2025-03-21,85123A,9,2.55,true,,118,0
2025-03-22,85123A,10,2.55,true,,109,0
2025-03-23,85123A,8,2.55,true,,99,0
2025-03-24,85123A,6,2.55,true,,91,0
2025-03-25,85123A,7,2.55,true,,85,0
2025-03-26,85123A,8,2.55,true,,78,0
2025-03-27,85123A,7,2.55,true,,70,0
2025-03-28,85123A,7,2.55,true,,63,0
2025-03-29,85123A,8,2.55,true,,56,0
2025-03-30,85123A,9,2.55,true,,48,106
2025-03-31,85123A,7,2.55,true,,145,0
2025-04-01,85123A,6,2.55,true,,138,0
2025-04-02,85123A,7,2.55,true,,132,0
2025-04-03,85123A,8,2.55,true,,125,0
2025-04-04,85123A,8,2.55,true,,117,0
2025-04-05,85123A,8,2.55,true,,109,0
2025-04-06,85123A,9,2.55,true,,101,0
2025-04-07,85123A,7,2.55,true,,92,0
2025-04-08,85123A,6,2.55,true,,85,0
2025-04-09,85123A,7,2.55,true,,79,0
2025-04-10,85123A,7,2.55,true,,72,0
2025-04-11,85123A,8,2.55,true,,65,0
2025-04-12,85123A,9,2.55,true,,57,0
2025-04-13,85123A,7,2.55,true,,48,0
2025-04-14,85123A,7,2.55,true,,41,109
2025-04-15,85123A,7,2.55,true,,143,0
2025-04-16,85123A,8,2.55,true,,136,0
2025-04-17,85123A,7,2.55,true,,128,0
2025-04-18,85123A,7,2.55,true,,121,0
2025-04-19,85123A,9,2.55,true,,114,0
2025-04-20,85123A,8,2.55,true,,105,0
2025-04-21,85123A,7,2.55,true,,97,0
2025-04-22,85123A,7,2.55,true,,90,0
2025-04-23,85123A,6,2.55,true,,83,0
2025-04-24,85123A,6,2.55,true,,77,0
2025-04-25,85123A,7,2.55,true,,71,0
2025-04-26,85123A,9,2.55,true,,64,0
2025-04-27,85123A,7,2.55,true,,55,0
2025-04-28,85123A,6,2.55,true,,48,0
2025-04-29,85123A,6,2.55,true,,42,105
2025-04-30,85123A,6,2.55,true,,141,0
2025-05-01,85123A,7,2.55,true,,135,0
2025-05-02,85123A,7,2.55,true,,128,0
2025-05-03,85123A,9,2.55,true,,121,0
2025-05-04,85123A,8,2.55,true,,112,0
2025-05-05,85123A,7,2.55,true,,104,0
2025-05-06,85123A,6,2.55,true,,97,0
2025-05-07,85123A,6,2.55,true,,91,0
2025-05-08,85123A,7,2.55,true,,85,0
2025-05-09,85123A,7,2.55,true,,78,0
2025-05-10,85123A,8,2.55,true,,71,0
2025-05-11,85123A,8,2.55,true,,63,0
2025-05-12,85123A,7,2.55,true,,55,0
2025-05-13,85123A,7,2.55,true,,48,0
2025-05-14,85123A,7,2.55,true,,41,109
2025-05-15,85123A,7,2.55,true,,143,0
2025-05-16,85123A,7,2.55,true,,136,0
2025-05-17,85123A,8,2.55,true,,129,0
2025-05-18,85123A,9,2.55,true,,121,0
2025-05-19,85123A,6,2.55,true,,112,0
2025-05-20,85123A,7,2.55,true,,106,0
2025-05-21,85123A,6,2.55,true,,99,0
2025-05-22,85123A,6,2.55,true,,93,0
2025-05-23,85123A,9,2.55,true,,87,0
2025-05-24,85123A,7,2.55,true,,78,0
2025-05-25,85123A,9,2.55,true,,71,0
2025-05-26,85123A,7,2.55,true,,62,0
2025-05-27,85123A,7,2.55,true,,55,0
2025-05-28,85123A,6,2.55,true,,48,0
2025-05-29,85123A,6,2.55,true,,42,111
2025-05-30,85123A,7,2.55,true,,147,0
2025-05-31,85123A,8,2.55,true,,140,0
2025-06-01,85123A,9,2.55,true,,132,0
2025-06-02,85123A,6,2.55,true,,123,0
2025-06-03,85123A,6,2.55,true,,117,0
2025-06-04,85123A,7,2.55,true,,111,0
2025-06-05,85123A,9,2.55,true,,104,0
2025-06-06,85123A,8,2.55,true,,95,0
2025-06-07,85123A,10,2.55,true,,87,0
2025-06-08,85123A,9,2.55,true,,77,0
2025-06-09,85123A,6,2.55,true,,68,0
2025-06-10,85123A,7,2.55,true,,62,0
2025-06-11,85123A,7,2.55,true,,55,0
2025-06-12,85123A,6,2.55,true,,48,0
2025-06-13,85123A,8,2.55,true,,42,114
2025-06-14,85123A,8,2.55,true,,148,0
2025-06-15,85123A,9,2.55,true,,140,0
2025-06-16,85123A,7,2.55,true,,131,0
2025-06-17,85123A,6,2.55,true,,124,0
2025-06-18,85123A,8,2.55,true,,118,0
2025-06-19,85123A,8,2.55,true,,110,0
2025-06-20,85123A,9,2.55,true,,102,0
2025-06-21,85123A,8,2.55,true,,93,0
2025-06-22,85123A,8,2.55,true,,85,0
2025-06-23,85123A,6,2.55,true,,77,0
2025-06-24,85123A,8,2.55,true,,71,0
2025-06-25,85123A,7,2.55,true,,63,0
2025-06-26,85123A,8,2.55,true,,56,0
2025-06-27,85123A,7,2.55,true,,48,0
2025-06-28,85123A,8,2.55,true,,41,112
2025-06-29,85123A,9,2.55,true,,145,0
2025-06-30,85123A,7,2.55,true,,136,0
2025-07-01,85123A,7,2.55,true,,129,0
2025-07-02,85123A,7,2.55,true,,122,0
2025-07-03,85123A,8,2.55,true,,115,0
2025-07-04,85123A,7,2.55,true,,107,0
2025-07-05,85123A,10,2.55,true,,100,0
2025-07-06,85123A,7,2.55,true,,90,0
2025-07-07,85123A,5,2.55,true,,83,0
2025-07-08,85123A,6,2.55,true,,78,0
2025-07-09,85123A,8,2.55,true,,72,0
2025-07-10,85123A,7,2.55,true,,64,0
2025-07-11,85123A,9,2.55,true,,57,0
2025-07-12,85123A,8,2.55,true,,48,0
2025-07-13,85123A,8,2.55,true,,40,121
2025-07-14,85123A,8,2.55,true,,153,0
2025-07-15,85123A,8,2.55,true,,145,0
2025-07-16,85123A,8,2.55,true,,137,0
2025-07-17,85123A,8,2.55,true,,129,0
2025-07-18,85123A,8,2.55,true,,121,0
2025-07-19,85123A,9,2.55,true,,113,0
2025-07-20,85123A,9,2.55,true,,104,0
2025-07-21,85123A,8,2.55,true,,95,0
2025-07-22,85123A,8,2.55,true,,87,0
2025-07-23,85123A,6,2.55,true,,79,0
2025-07-24,85123A,8,2.55,true,,73,0
2025-07-25,85123A,8,2.55,true,,65,0
2025-07-26,85123A,9,2.55,true,,57,0
2025-07-27,85123A,9,2.55,true,,48,108
2025-07-28,85123A,7,2.55,true,,147,0
2025-07-29,85123A,7,2.55,true,,140,0
2025-07-30,85123A,9,2.55,true,,133,0
2025-07-31,85123A,7,2.55,true,,124,0
2025-08-01,85123A,7,2.55,true,,117,0
2025-08-02,85123A,8,2.55,true,,110,0
2025-08-03,85123A,8,2.55,true,,102,0
2025-08-04,85123A,6,2.55,true,,94,0
2025-08-05,85123A,6,2.55,true,,88,0
2025-08-06,85123A,8,2.55,true,,82,0
2025-08-07,85123A,8,2.55,true,,74,0
2025-08-08,85123A,8,2.55,true,,66,0
2025-08-09,85123A,10,2.55,true,,58,0
2025-08-10,85123A,9,2.55,true,,48,117
2025-08-11,85123A,7,2.55,true,,156,0
2025-08-12,85123A,7,2.55,true,,149,0
2025-08-13,85123A,7,2.55,true,,142,0
2025-08-14,85123A,9,2.55,true,,135,0
2025-08-15,85123A,9,2.55,true,,126,0
2025-08-16,85123A,11,2.55,true,,117,0
2025-08-17,85123A,8,2.55,true,,106,0
2025-08-18,85123A,6,2.55,true,,98,0
2025-08-19,85123A,8,2.55,true,,92,0
2025-08-20,85123A,9,2.55,true,,84,0
2025-08-21,85123A,9,2.55,true,,75,0
2025-08-22,85123A,8,2.55,true,,66,0
2025-08-23,85123A,10,2.55,true,,58,0
2025-08-24,85123A,8,2.55,true,,48,0
2025-08-25,85123A,8,2.55,true,,40,123
2025-08-26,85123A,7,2.55,true,,155,0
2025-08-27,85123A,7,2.55,true,,148,0
2025-08-28,85123A,9,2.55,true,,141,0
2025-08-29,85123A,8,2.55,true,,132,0
2025-08-30,85123A,10,2.55,true,,124,0
2025-08-31,85123A,8,2.55,true,,114,0
2025-09-01,85123A,8,2.55,true,,106,0
2025-09-02,85123A,7,2.55,true,,98,0
2025-09-03,85123A,8,2.55,true,,91,0
2025-09-04,85123A,7,2.55,true,,83,0
2025-09-05,85123A,9,2.55,true,,76,0
2025-09-06,85123A,9,2.55,true,,67,0
2025-09-07,85123A,10,2.55,true,,58,0
2025-09-08,85123A,8,2.55,true,,48,0
2025-09-09,85123A,7,2.55,true,,40,126
2025-09-10,85123A,8,2.55,true,,159,0
2025-09-11,85123A,7,2.55,true,,151,0
2025-09-12,85123A,9,2.55,true,,144,0
2025-09-13,85123A,11,2.55,true,,135,0
2025-09-14,85123A,10,2.55,true,,124,0
2025-09-15,85123A,7,2.55,true,,114,0
2025-09-16,85123A,7,2.55,true,,107,0
2025-09-17,85123A,8,2.55,true,,100,0
2025-09-18,85123A,8,2.55,true,,92,0
2025-09-19,85123A,8,2.55,true,,84,0
2025-09-20,85123A,11,2.55,true,,76,0
2025-09-21,85123A,10,2.55,true,,65,0
2025-09-22,85123A,7,2.55,true,,55,0
2025-09-23,85123A,7,2.55,true,,48,0
2025-09-24,85123A,9,2.55,true,,41,132
2025-09-25,85123A,9,2.55,true,,164,0
2025-09-26,85123A,9,2.55,true,,155,0
2025-09-27,85123A,10,2.55,true,,146,0
2025-09-28,85123A,11,2.55,true,,136,0
2025-09-29,85123A,8,2.55,true,,125,0
2025-09-30,85123A,8,2.55,true,,117,0
2025-10-01,85123A,8,2.55,true,,109,0
2025-10-02,85123A,8,2.55,true,,101,0
2025-10-03,85123A,10,2.55,true,,93,0
2025-10-04,85123A,11,2.55,true,,83,0
2025-10-05,85123A,9,2.55,true,,72,0
2025-10-06,85123A,7,2.55,true,,63,0
2025-10-07,85123A,8,2.55,true,,56,0
2025-10-08,85123A,8,2.55,true,,48,0
2025-10-09,85123A,8,2.55,true,,40,134
2025-10-10,85123A,8,2.55,true,,166,0
2025-10-11,85123A,11,2.55,true,,158,0
2025-10-12,85123A,9,2.55,true,,147,0
2025-10-13,85123A,9,2.55,true,,138,0
2025-10-14,85123A,7,2.55,true,,129,0
2025-10-15,85123A,9,2.55,true,,122,0
2025-10-16,85123A,9,2.55,true,,113,0
2025-10-17,85123A,10,2.55,true,,104,0
2025-10-18,85123A,10,2.55,true,,94,0
2025-10-19,85123A,10,2.55,true,,84,0
2025-10-20,85123A,9,2.55,true,,74,0
2025-10-21,85123A,8,2.55,true,,65,0
2025-10-22,85123A,9,2.55,true,,57,0
2025-10-23,85123A,8,2.55,true,,48,0
2025-10-24,85123A,10,2.55,true,,40,136
2025-10-25,85123A,10,2.55,true,,166,0
2025-10-26,85123A,11,2.55,true,,156,0
2025-10-27,85123A,9,2.55,true,,145,0
2025-10-28,85123A,8,2.55,true,,136,0
2025-10-29,85123A,9,2.55,true,,128,0
2025-10-30,85123A,8,2.55,true,,119,0
2025-10-31,85123A,10,2.55,true,,111,0
2025-11-01,85123A,9,2.55,true,,101,0
2025-11-02,85123A,10,2.55,true,,92,0
2025-11-03,85123A,9,2.55,true,,82,0
2025-11-04,85123A,9,2.55,true,,73,0
2025-11-05,85123A,8,2.55,true,,64,0
2025-11-06,85123A,8,2.55,true,,56,0
2025-11-07,85123A,9,2.55,true,,48,127
2025-11-08,85123A,10,2.55,true,,166,0
2025-11-09,85123A,10,2.55,true,,156,0
2025-11-10,85123A,8,2.55,true,,146,0
2025-11-11,85123A,9,2.55,true,,138,0
2025-11-12,85123A,8,2.55,true,,129,0
2025-11-13,85123A,9,2.55,true,,121,0
2025-11-14,85123A,10,2.55,true,,112,0
2025-11-15,85123A,10,2.55,true,,102,0
2025-11-16,85123A,9,2.55,true,,92,0
2025-11-17,85123A,9,2.55,true,,83,0
2025-11-18,85123A,8,2.55,true,,74,0
2025-11-19,85123A,8,2.55,true,,66,0
2025-11-20,85123A,10,2.55,true,,58,0
2025-11-21,85123A,9,2.55,true,,48,128
2025-11-22,85123A,11,2.55,true,,167,0
2025-11-23,85123A,10,2.55,true,,156,0
2025-11-24,85123A,9,2.55,true,,146,0
2025-11-25,85123A,10,2.55,true,,137,0
2025-11-26,85123A,8,2.55,true,,127,0
2025-11-27,85123A,9,2.55,true,,119,0
2025-11-28,85123A,9,2.55,true,,110,0
2025-11-29,85123A,10,2.55,true,,101,0
2025-11-30,85123A,10,2.55,true,,91,0
2025-12-01,85123A,8,2.55,true,,81,0
2025-12-02,85123A,8,2.55,true,,73,0
2025-12-03,85123A,8,2.55,true,,65,0
2025-12-04,85123A,9,2.55,true,,57,0
2025-12-05,85123A,10,2.55,true,,48,134
2025-12-06,85123A,10,2.55,true,,172,0
2025-12-07,85123A,11,2.55,true,,162,0
2025-12-08,85123A,9,2.55,true,,151,0
2025-12-09,85123A,9,2.55,true,,142,0
2025-12-10,85123A,9,2.55,true,,133,0
2025-12-11,85123A,9,2.55,true,,124,0
2025-12-12,85123A,10,2.55,true,,115,0
2025-12-13,85123A,11,2.55,true,,105,0
2025-12-14,85123A,10,2.55,true,,94,0
2025-12-15,85123A,8,2.55,true,,84,0
2025-12-16,85123A,8,2.55,true,,76,0
2025-12-17,85123A,10,2.55,true,,68,0
2025-12-18,85123A,10,2.55,true,,58,0
2025-12-19,85123A,11,2.55,true,,48,138
2025-12-20,85123A,12,2.55,true,,175,0
2025-12-21,85123A,10,2.55,true,,163,0
2025-12-22,85123A,9,2.55,true,,153,0
2025-12-23,85123A,8,2.55,true,,144,0
2025-12-24,85123A,10,2.55,true,,136,0
2025-12-25,85123A,10,2.55,true,,126,0
2025-12-26,85123A,10,2.55,true,,116,0
2025-12-27,85123A,10,2.55,true,,106,0
2025-12-28,85123A,11,2.55,true,,96,0
2025-12-29,85123A,8,2.55,true,,85,0
2025-12-30,85123A,10,2.55,true,,77,0
2025-12-31,85123A,10,2.55,true,,67,0
2026-01-01,85123A,9,2.55,true,,57,0
2026-01-02,85123A,9,2.55,true,,48,135
2026-01-03,85123A,12,2.55,true,,174,0
2026-01-04,85123A,11,2.55,true,,162,0
2026-01-05,85123A,9,2.55,true,,151,0
2026-01-06,85123A,9,2.55,true,,142,0
2026-01-07,85123A,8,2.55,true,,133,0
2026-01-08,85123A,8,2.55,true,,125,0
2026-01-09,85123A,10,2.55,true,,117,0
2026-01-10,85123A,10,2.55,true,,107,0
2026-01-11,85123A,10,2.55,true,,97,0
2026-01-12,85123A,9,2.55,true,,87,0
2026-01-13,85123A,10,2.55,true,,78,0
2026-01-14,85123A,10,2.55,true,,68,0
2026-01-15,85123A,10,2.55,true,,58,0
2026-01-16,85123A,10,2.55,true,,48,136
2026-01-17,85123A,12,2.55,true,,174,0
2026-01-18,85123A,12,2.55,true,,162,0
2026-01-19,85123A,9,2.55,true,,150,0
2026-01-20,85123A,8,2.55,true,,141,0
2026-01-21,85123A,9,2.55,true,,133,0
2026-01-22,85123A,8,2.55,true,,124,0
2026-01-23,85123A,9,2.55,true,,116,0
2026-01-24,85123A,12,2.55,true,,107,0
2026-01-25,85123A,11,2.55,true,,95,0
2026-01-26,85123A,9,2.55,true,,84,0
2026-01-27,85123A,9,2.55,true,,75,0
2026-01-28,85123A,9,2.55,true,,66,0
2026-01-29,85123A,9,2.55,true,,57,0
2026-01-30,85123A,9,2.55,true,,48,132
2026-01-31,85123A,12,2.55,true,,171,0
2026-02-01,85123A,11,2.55,true,,159,0
2026-02-02,85123A,8,2.55,true,,148,0
2026-02-03,85123A,9,2.55,true,,140,0
2026-02-04,85123A,10,2.55,true,,131,0
2026-02-05,85123A,10,2.55,true,,121,0
2026-02-06,85123A,10,2.55,true,,111,0
2026-02-07,85123A,10,2.55,true,,101,0
2026-02-08,85123A,10,2.55,true,,91,0
2026-02-09,85123A,7,2.55,true,,81,0
2026-02-10,85123A,9,2.55,true,,74,0
2026-02-11,85123A,8,2.55,true,,65,0
2026-02-12,85123A,9,2.55,true,,57,0
2026-02-13,85123A,10,2.55,true,,48,136
2026-02-14,85123A,11,2.55,true,,174,0
2026-02-15,85123A,11,2.55,true,,163,0
2026-02-16,85123A,8,2.55,true,,152,0
2026-02-17,85123A,9,2.55,true,,144,0
2026-02-18,85123A,8,2.55,true,,135,0
2026-02-19,85123A,10,2.55,true,,127,0
2026-02-20,85123A,10,2.55,true,,117,0
2026-02-21,85123A,12,2.55,true,,107,0
2026-02-22,85123A,11,2.55,true,,95,0
2026-02-23,85123A,8,2.55,true,,84,0
2026-02-24,85123A,8,2.55,true,,76,0
2026-02-25,85123A,10,2.55,true,,68,0
2026-02-26,85123A,10,2.55,true,,58,0
2026-02-27,85123A,11,2.55,true,,48,139
2026-02-28,85123A,11,2.55,true,,176,0
2026-03-01,85123A,11,2.55,true,,165,0
2026-03-02,85123A,8,2.55,true,,154,0
2026-03-03,85123A,9,2.55,true,,146,0
2026-03-04,85123A,10,2.55,true,,137,0
2026-03-05,85123A,10,2.55,true,,127,0
2026-03-06,85123A,9,2.55,true,,117,0
2026-03-07,85123A,12,2.55,true,,108,0
2026-03-08,85123A,11,2.55,true,,96,0
2026-03-09,85123A,10,2.55,true,,85,0
2026-03-10,85123A,8,2.55,true,,75,0
2026-03-11,85123A,10,2.55,true,,67,0
2026-03-12,85123A,9,2.55,true,,57,0
2026-03-13,85123A,11,2.55,true,,48,129
2026-03-14,85123A,11,2.55,true,,166,0
2026-03-15,85123A,10,2.55,true,,155,0
2026-03-16,85123A,7,2.55,true,,145,0
2026-03-17,85123A,9,2.55,true,,138,0
2026-03-18,85123A,8,2.55,true,,129,0
2026-03-19,85123A,9,2.55,true,,121,0
2026-03-20,85123A,10,2.55,true,,112,0
2026-03-21,85123A,10,2.55,true,,102,0
2026-03-22,85123A,10,2.55,true,,92,0
2026-03-23,85123A,7,2.55,true,,82,0
2026-03-24,85123A,9,2.55,true,,75,0
2026-03-25,85123A,8,2.55,true,,66,0
2026-03-26,85123A,10,2.55,true,,58,0
2026-03-27,85123A,9,2.55,true,,48,136
2026-03-28,85123A,12,2.55,true,,175,0
2026-03-29,85123A,11,2.55,true,,163,0
2026-03-30,85123A,9,2.55,true,,152,0
2026-03-31,85123A,9,2.55,true,,143,0
2026-04-01,85123A,10,2.55,true,,134,0
2026-04-02,85123A,8,2.55,true,,124,0
2026-04-03,85123A,9,2.55,true,,116,0
2026-04-04,85123A,11,2.55,true,,107,0
2026-04-05,85123A,11,2.55,true,,96,0
2026-04-06,85123A,9,2.55,true,,85,0
2026-04-07,85123A,9,2.55,true,,76,0
2026-04-08,85123A,9,2.55,true,,67,0
2026-04-09,85123A,10,2.55,true,,58,0
2026-04-10,85123A,8,2.55,true,,48,0
2026-04-11,85123A,12,2.55,true,,40,137
2026-04-12,85123A,10,2.55,true,,165,0
2026-04-13,85123A,9,2.55,true,,155,0
2026-04-14,85123A,8,2.55,true,,146,0
2026-04-15,85123A,7,2.55,true,,138,0
2026-04-16,85123A,8,2.55,true,,131,0
